source	target	weight
PA14_09340	PA14_55920	0.970029556911108
PA14_09370	PA14_55920	0.960130724307232
PA14_09380	PA14_55920	0.946808922018014
PA14_26020	PA14_55920	0.983010565185178
PA14_40230	PA14_55920	0.941464284333463
PA14_40250	PA14_55920	0.949079613011252
PA14_40260	PA14_55920	0.944773093798437
PA14_55890	PA14_55920	0.981550740776013
PA14_55900	PA14_55920	0.957903247231468
PA14_09290	PA14_55930	0.94185935112548
PA14_18140	PA14_55930	0.940667323316545
PA14_40230	PA14_55930	0.970700130774367
PA14_40240	PA14_55930	0.958342824203196
PA14_40250	PA14_55930	0.97058314840889
PA14_40260	PA14_55930	0.977194939254552
PA14_09230	PA14_55940	0.970485615569761
PA14_09290	PA14_55940	0.958536696708209
PA14_09320	PA14_55940	0.952190318794021
PA14_40250	PA14_55940	0.941644277578622
PA14_40260	PA14_55940	0.957772691035564
PA14_38210	PA14_57990	0.964387937090368
PA14_38220	PA14_57990	0.946646644736025
PA14_47390	PA14_57990	0.966057172214057
PA14_38220	PA14_58000	0.950867361462971
PA14_40250	PA14_58000	0.953387428536645
PA14_40260	PA14_58000	0.955620993084168
PA14_55580	PA14_58000	0.960891842597688
PA14_55940	PA14_58000	0.943636469569697
PA14_09350	PA14_58010	0.950685087544005
PA14_09350	PA14_58030	0.942673365888439
PA14_38210	PA14_58030	0.962375468368516
PA14_38220	PA14_58030	0.9513200082154
PA14_40230	PA14_58030	0.945529100831472
PA14_58010	PA14_58030	0.940791882981327
PA14_38220	PA14_58040	0.941549186381623
PA14_39810	PA14_58040	0.950994394796628
PA14_55840	PA14_58040	0.944232034797048
PA14_58030	PA14_58040	0.942535463984656
PA14_09270	PA14_60480	0.955039692362657
PA14_09340	PA14_60480	0.943223575823137
PA14_09350	PA14_60480	0.975232439617334
PA14_32720	PA14_60480	0.969480359047329
PA14_38210	PA14_60480	0.956084932526002
PA14_40250	PA14_60480	0.947742863152896
PA14_58010	PA14_60480	0.95108653173319
PA14_58030	PA14_60480	0.947942394380625
PA14_09270	PA14_06650	-0.942827783484026
PA14_09210	PA14_06670	-0.96092320948164
PA14_09220	PA14_06670	-0.940012327029134
PA14_09240	PA14_06670	-0.961041647160294
PA14_09270	PA14_06670	-0.953788018025504
PA14_09280	PA14_06670	-0.954671770962234
PA14_09300	PA14_06670	-0.946157392862078
PA14_09340	PA14_06670	-0.952221991943475
PA14_09370	PA14_06670	-0.962246174849304
PA14_09380	PA14_06670	-0.951045063775301
PA14_06650	PA14_06680	0.969855464523553
PA14_09240	PA14_06710	-0.9464544848441
PA14_09370	PA14_06710	-0.946924992495488
PA14_06670	PA14_06710	0.968442931208995
PA14_06650	PA14_06720	0.971331188068151
PA14_06680	PA14_06720	0.959903095700806
PA14_06720	PA14_06730	0.942326470029905
PA14_09210	PA14_06740	-0.941338314888524
PA14_09240	PA14_06740	-0.939240375578208
PA14_09280	PA14_06740	-0.938224041782368
PA14_09370	PA14_06740	-0.95075469427961
PA14_06650	PA14_06740	0.95977389284338
PA14_06670	PA14_06740	0.95225838565519
PA14_06680	PA14_06740	0.938899402770264
PA14_06720	PA14_06740	0.946824998972839
PA14_06730	PA14_06740	0.949514070913189
PA14_09210	PA14_06750	-0.953423135247018
PA14_09240	PA14_06750	-0.947858993021705
PA14_09270	PA14_06750	-0.95166509157112
PA14_09280	PA14_06750	-0.943354111613383
PA14_09300	PA14_06750	-0.94584659621019
PA14_09320	PA14_06750	-0.951246701748633
PA14_09340	PA14_06750	-0.939108493996813
PA14_09370	PA14_06750	-0.962689958931296
PA14_31290	PA14_06750	-0.945379553665015
PA14_06650	PA14_06750	0.968737483558236
PA14_06670	PA14_06750	0.954872122294287
PA14_06680	PA14_06750	0.947498425266828
PA14_06720	PA14_06750	0.971918813081797
PA14_06730	PA14_06750	0.957603620848299
PA14_06740	PA14_06750	0.966696365502357
PA14_09370	PA14_06810	-0.942094133026063
PA14_06670	PA14_06810	0.945436975916078
PA14_06730	PA14_06810	0.956540994078742
PA14_06740	PA14_06810	0.974957795158892
PA14_06750	PA14_06810	0.944764981064133
PA14_09210	PA14_06830	-0.946865083920425
PA14_09240	PA14_06830	-0.950536549823991
PA14_09280	PA14_06830	-0.95113015510246
PA14_09300	PA14_06830	-0.942321670504166
PA14_09370	PA14_06830	-0.943103639814229
PA14_26020	PA14_06830	-0.952922836486357
PA14_39890	PA14_06830	-0.940572564206623
PA14_55890	PA14_06830	-0.946713314134913
PA14_09210	PA14_06840	-0.967029410680761
PA14_09230	PA14_06840	-0.938373822610871
PA14_09240	PA14_06840	-0.966544796274402
PA14_09270	PA14_06840	-0.938851278154274
PA14_09280	PA14_06840	-0.957706788020893
PA14_09300	PA14_06840	-0.947433618443921
PA14_09320	PA14_06840	-0.958100134921863
PA14_09370	PA14_06840	-0.968030430080036
PA14_26020	PA14_06840	-0.939970811923465
PA14_06670	PA14_06840	0.941154182207734
PA14_06750	PA14_06840	0.94494907901914
PA14_06810	PA14_06840	0.947281985835626
PA14_06830	PA14_06840	0.942366205881708
PA14_06840	PA14_13250	0.958181597416835
PA14_13250	PA14_13280	0.955944385151091
PA14_06650	PA14_13290	0.970380503584112
PA14_06680	PA14_13290	0.951776393608102
PA14_06720	PA14_13290	0.93898722516048
PA14_06740	PA14_13290	0.94842250689977
PA14_06750	PA14_13290	0.941142678992125
PA14_09210	PA14_13300	-0.965370511969487
PA14_09220	PA14_13300	-0.94001997279735
PA14_09240	PA14_13300	-0.97133688954754
PA14_09270	PA14_13300	-0.947308886225803
PA14_09280	PA14_13300	-0.955472194276419
PA14_09300	PA14_13300	-0.949968995950909
PA14_09320	PA14_13300	-0.951653203519338
PA14_09340	PA14_13300	-0.953327500101782
PA14_09370	PA14_13300	-0.970423336624056
PA14_09380	PA14_13300	-0.957115813698364
PA14_06670	PA14_13300	0.968665398008555
PA14_06710	PA14_13300	0.966263863532513
PA14_06750	PA14_13300	0.938717864538339
PA14_06810	PA14_13300	0.938103591258133
PA14_06840	PA14_13300	0.968390168754215
