source	target	weight
PA14_09230	PA14_26020	0.949422770521561
PA14_09240	PA14_26020	0.980342442578318
PA14_09270	PA14_26020	0.974090591561956
PA14_09280	PA14_26020	0.981862825090767
PA14_09290	PA14_26020	0.936453892871558
PA14_09300	PA14_26020	0.974446651785622
PA14_09320	PA14_26020	0.942195959064112
PA14_09340	PA14_26020	0.960860653651984
PA14_09350	PA14_26020	0.916702219455757
PA14_09370	PA14_26020	0.973312126481643
PA14_09380	PA14_26020	0.950365638674729
PA14_09450	PA14_26020	0.942588795793932
PA14_09500	PA14_26020	0.903842187556941
PA14_18140	PA14_26020	0.918486278316745
PA14_28970	PA14_28980	0.903828343297358
PA14_00650	PA14_31290	0.855008006464616
PA14_09210	PA14_31290	0.948046124917779
PA14_09220	PA14_31290	0.94099549950933
PA14_09230	PA14_31290	0.883756693868974
PA14_09240	PA14_31290	0.926084540837369
PA14_09270	PA14_31290	0.948641604464233
PA14_09280	PA14_31290	0.943306161330108
PA14_09290	PA14_31290	0.850875744088011
PA14_09300	PA14_31290	0.942044930001715
PA14_09320	PA14_31290	0.892268372753531
PA14_09340	PA14_31290	0.910184402099336
PA14_09350	PA14_31290	0.936518545442572
PA14_09370	PA14_31290	0.926067517409433
PA14_09380	PA14_31290	0.888040385308506
PA14_19480	PA14_31290	0.889658590601183
PA14_26020	PA14_31290	0.920361052442149
PA14_11140	PA14_31350	0.869251575200197
PA14_09210	PA14_32720	0.861268510462455
PA14_09220	PA14_32720	0.866000870997772
PA14_09240	PA14_32720	0.856452373456608
PA14_09270	PA14_32720	0.899915928104058
PA14_09280	PA14_32720	0.862316505973217
PA14_09300	PA14_32720	0.869030759355811
PA14_09340	PA14_32720	0.900958995362309
PA14_09350	PA14_32720	0.943108376540253
PA14_09380	PA14_32720	0.863186877907034
PA14_31350	PA14_32720	0.882491968259697
PA14_06180	PA14_33260	0.904205868581781
PA14_09350	PA14_33260	0.861504449000508
PA14_11140	PA14_33260	0.867708618269428
PA14_32720	PA14_33260	0.890052009172861
PA14_09210	PA14_34870	0.907216133371378
PA14_09220	PA14_34870	0.877170096385345
PA14_09230	PA14_34870	0.937738625846642
PA14_09240	PA14_34870	0.922274272892499
PA14_09270	PA14_34870	0.912640943568872
PA14_09280	PA14_34870	0.90710065065484
PA14_09290	PA14_34870	0.913460449785642
PA14_09300	PA14_34870	0.894326015602048
PA14_09320	PA14_34870	0.911914345432492
PA14_09340	PA14_34870	0.944999119015769
PA14_09350	PA14_34870	0.884724211686933
PA14_09370	PA14_34870	0.909395288357034
PA14_09380	PA14_34870	0.904167583549814
PA14_26020	PA14_34870	0.860556851218309
PA14_31290	PA14_34870	0.864928268068922
PA14_31350	PA14_34870	0.900252801396913
PA14_32720	PA14_34870	0.88916446275271
PA14_00620	PA14_37210	0.928065908551878
PA14_09450	PA14_37210	0.907018219918705
PA14_09500	PA14_37210	0.880038541520526
PA14_18140	PA14_37210	0.872972850378377
PA14_26020	PA14_37210	0.865126472976908
PA14_00620	PA14_37250	0.868936374446486
PA14_09210	PA14_37250	0.9249822867834
PA14_09220	PA14_37250	0.891592745515704
PA14_09230	PA14_37250	0.908368140224059
PA14_09240	PA14_37250	0.940274002578375
PA14_09270	PA14_37250	0.904645087124306
PA14_09280	PA14_37250	0.931130707801274
PA14_09290	PA14_37250	0.908287431633357
PA14_09300	PA14_37250	0.920479552926135
PA14_09320	PA14_37250	0.913494453297021
PA14_09340	PA14_37250	0.898824807007754
PA14_09370	PA14_37250	0.93628573430861
PA14_09380	PA14_37250	0.896625911980612
PA14_09450	PA14_37250	0.980396467010464
PA14_09500	PA14_37250	0.911472577543146
PA14_18140	PA14_37250	0.899096366450382
PA14_26020	PA14_37250	0.968806684776658
PA14_37210	PA14_37250	0.925713981855479
PA14_00620	PA14_37290	0.905886094717931
PA14_09240	PA14_37290	0.856178140211262
PA14_09280	PA14_37290	0.850158102689867
PA14_09370	PA14_37290	0.856441505114642
PA14_09450	PA14_37290	0.972883674593143
PA14_09500	PA14_37290	0.874514924558247
