gene	condition	mean_expr	mean_z	active_z_ge_1
PA14_55580	transitional.growth	1.88256252095568	-0.793743347242105	FALSE
PA14_55840	transitional.growth	2.28940881602298	0.164518498059628	FALSE
PA14_55860	transitional.growth	2.74640310450227	0.441738261590185	FALSE
PA14_55880	transitional.growth	2.60474360605081	0.289787747723647	FALSE
PA14_55890	transitional.growth	2.84157853214307	0.34666047601696	FALSE
PA14_55900	transitional.growth	2.75318643140143	0.342700907818661	FALSE
PA14_55920	transitional.growth	2.90665462307916	0.352444839490662	FALSE
PA14_55930	transitional.growth	2.78139792893249	0.242808613376862	FALSE
PA14_55940	transitional.growth	3.09251942515478	0.153391611365395	FALSE
PA14_57990	transitional.growth	2.07921713597752	-0.74598307324582	FALSE
PA14_58000	transitional.growth	2.11384551270544	-0.669888916506591	FALSE
PA14_58010	transitional.growth	1.92801443145065	-0.822079837967238	FALSE
PA14_58030	transitional.growth	2.1665639471517	-0.950464642459433	FALSE
PA14_58040	transitional.growth	2.07037786266571	-0.694774705464188	FALSE
PA14_60480	transitional.growth	2.1192252559753	-1.10085704041211	FALSE
PA14_61910	transitional.growth	2.13703114078756	-0.0517430947369195	FALSE
PA14_62330	transitional.growth	2.22769653303648	-0.909494663260405	FALSE
PA14_64690	transitional.growth	1.88643520716788	-0.634889963797925	FALSE
PA14_64700	transitional.growth	1.96538943588193	-1.00287552493228	FALSE
PA14_06650	transitional.growth	3.11615369110411	1.22075951500541	TRUE
PA14_06660	transitional.growth	2.76232350633405	1.14481192769522	TRUE
PA14_06670	transitional.growth	3.09438358176026	1.2938225438076	TRUE
PA14_06680	transitional.growth	2.82043567433318	1.20452493212188	TRUE
